ARTISTI;TULOT
Live   ;$35Ê000,00
Lostprophets/Lost Prophet   ;$35Ê000,00
Mutemath   ;$35Ê000,00
Original Blues Brothers Band   ;$35Ê000,00
Richard Marx   ;$35Ê000,00
Rufus Wainwright   ;$35Ê000,00
Teen Idols   ;$35Ê000,00
The Black Angels   ;$35Ê000,00
The Chicago Rat Pack   ;$35Ê000,00
The Whispers   ;$35Ê000,00
WAR   ;$35Ê000,00
A Flock Of Seagulls;$40Ê000,00
All Time Low ;$40Ê000,00
Alan Parsons ;$40Ê000,00
All Time Low;$40Ê000,00
America   ;$40Ê000,00
Bacon Brothers   ;$40Ê000,00
Bad Religion   ;$40Ê000,00
Billy Squier   ;$40Ê000,00
Bonnie Tyler   ;$40Ê000,00
Boys Like Girls   ;$40Ê000,00
Chantal Kreviazuk   ;$40Ê000,00
Charlie Daniels Band   ;$40Ê000,00
Chynna Phillips   ;$40Ê000,00
Dickey Betts & Great Southern   ;$40Ê000,00
Donavon Frankenreiter   ;$40Ê000,00
Four Tops   ;$40Ê000,00
Galactic   ;$40Ê000,00
Guess Who   ;$40Ê000,00
Jethro Tull   ;$40Ê000,00
Jimmie Vaughan   ;$40Ê000,00
Kansas   ;$40Ê000,00
Keane   ;$40Ê000,00
Los Lobos   ;$40Ê000,00
Marc Cohn   ;$40Ê000,00
Mat Kearney   ;$40Ê000,00
Taylor Dayne   ;$40Ê000,00
TobyMac   ;$40Ê000,00
VV Brown   ;$40Ê000,00
Wilson Phillips   ;$40Ê000,00
World Classic Rockers   ;$40Ê000,00
Yeasayer   ;$40Ê000,00
Cassadee Pope   ;$45Ê000,00
UFO   ;$45Ê000,00
38 Special;$50Ê000,00
AWOLNation;$50Ê000,00
Beck   ;$50Ê000,00
Beck   ;$50Ê000,00
Bob Weir & Rat Dog   ;$50Ê000,00
Brandi Carlile   ;$50Ê000,00
Bruce Hornsby   ;$50Ê000,00
Collective Soul   ;$50Ê000,00
Dashboard Confessional   ;$50Ê000,00
David Byrne   ;$50Ê000,00
Dennis DeYoung-The Music of Styx   ;$50Ê000,00
Don Felder (of The Eagles)   ;$50Ê000,00
Donny Osmond   ;$50Ê000,00
Eric Burdon & The Animals   ;$50Ê000,00
Europe   ;$50Ê000,00
Gary Sinise & the Lt. Dan Band   ;$50Ê000,00
Gavin Rossdale   ;$50Ê000,00
George Clinton And Parliament Funkadelic   ;$50Ê000,00
Grace Jones   ;$50Ê000,00
Great Big Sea   ;$50Ê000,00
Hoobastank   ;$50Ê000,00
Howard Jones   ;$50Ê000,00
Jakob Dylan   ;$50Ê000,00
Jessica Simpson   ;$50Ê000,00
